ID;Image;Nom;test;Rí©fí©rence;Categorie;Fournisseur;Prix TTC;Prix final;Etat
36;http://pprod.koomaakiti.com/img/p/36/36-a.jpg;Beurre en plaquette Président 200g;Beurre produit en France. Son mélange unique de crèmes, son origine française et son expertise permettent d'offrir le goût authentique d'un vrai beurre.;e-beu-200;Epicerie;Alpha;10;10;1
37;http://pprod.koomaakiti.com/img/p/37/37-a.jpg;Beurre en plaquette Elle & Vire 200g;Beurre produit en France à teneur réduite en matière grasse. Utilisable en tartine et en cuisine;e-beu-200;Epicerie;Alpha;10;10;1
38;http://pprod.koomaakiti.com/img/p/38/38-a.jpg;Mayonnaise Bama - Pot de 946Ml;Mayonnaise riche et onctueuse. Composée d'huile de soja et de citron , d'œufs, d'eau distillée, de vinaigre de cidre, de sucre,  de sel , d'oignon et d'arômes naturelles.Conserver au frais après ouverture;e-may-946;Epicerie;Alpha;10;10;1
39;http://pprod.koomaakiti.com/img/p/39/39-a.jpg;Fromage Vache qui rit - Boite de 120g;Fromage allégé en matières grasses utilisant des ingrédients de qualité. Contribue au bon équilibre alimentaire. Une portion est composée de 100mg de calcium et de seulement 19% de matière grasse.;e-from-120;Epicerie;Alpha;10;10;1
40;http://pprod.koomaakiti.com/img/p/40/40-a.jpg;Thé Lipton Yellow Label - Boite de 100 sachets;Véritable référence gustative, le thé Lipton Yellow allie les vertus stimulantes de la théine aux bienfaits à long terme des antioxydants (prévention contre le vieillissement des cellules et contre certains cancers). Emballé en sachet individuel,  permettant de conserve parfaitement les saveurs du thé, sa préparation est des plus pratiques;b-the-100;Boissons;Alpha;10;10;1
41;http://pprod.koomaakiti.com/img/p/41/41-a.jpg;Thé Bravo - Boite de 100 sachets;Thé en sachet, paquet de 100.;b-the-100;Boissons;Alpha;10;10;1
42;http://pprod.koomaakiti.com/img/p/42/42-a.jpg;Thé Akbar - Boite de 100 sachets;Thé Ceylan produit au Sri Lanka.;b-the-100;Boissons;Alpha;10;10;1
43;http://pprod.koomaakiti.com/img/p/43/43-a.jpg;Thé Alokozay - Boite de 100 sachets;Thé noir en sachet, paquet de 100.;b-the-100;Boissons;Alpha;10;10;1
44;http://pprod.koomaakiti.com/img/p/44/44-a.jpg;Confiture Sano pot de 370g parfum Fraise;Elaborée à partir de fruits, cette confiture ne contient pas de saccharose et  elle est composée de Fraise (50%), jus de raisin concentré, pectine de fruits, jus de citron concentré et citrate de calcium.;e-con-370;Epicerie;Alpha;10;10;1
45;http://pprod.koomaakiti.com/img/p/45/45-a.jpg;Confiture Sano pot de 370g parfum Cerise;Elaborée à partir de fruit, cette confiture ne contient pas de saccharose et  elle est composée de cerise (50%), jus de raisin concentré, pectine de fruits, jus de citron concentré et citrate de calcium.;e-con-371;Epicerie;Alpha;10;10;1
46;http://pprod.koomaakiti.com/img/p/46/46-a.jpg;Miel de Guinée - Bouteille de 1,4KG;Produit en Guinée;e-mie-1.4;Epicerie;Alpha;10;10;1
47;http://pprod.koomaakiti.com/img/p/47/47-a.jpg;Vinaigre blanc Sano 1L;Vinaigre d’alcool comestible à faible teneur en acide acétique.;e-vin-1;Epicerie;Alpha;10;10;1
48;http://pprod.koomaakiti.com/img/p/48/48-a.jpg;Spaghetti Gino 500g;Pâtes alimentaires d'origine italienne, à base de semoule de blé dur, moulées en forme de cylindres pleins de quelques millimètres de diamètreSon utilisation avec juste quelques ingrédients vous permet de faire un repas qui vous transportera en Italie;e-pat-500;Epicerie;Alpha;10;10;1
